Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment: Transmission: Synchronous transmission,Equipment: bolt size hitch (mm): 32mm,Equipment: hitch: manually,Equipment: Reverse motion without pressure,Equipment: Air conditioner,Equipment: radio,Equipment: Top speed in km/h: 40 km/h,Equipment: Hydraulic brake valve,Equipment: emission stage: Tier3,Equipment: Front loader,Equipment: PowerShuttle,Equipment: Suspended tractor cabin (cab suspension),Equipment: Transmission: Continuously variable transmission,Equipment: Front PTO (power take-off),Equipment: Joystick: electric,Equipment: PTO shaft speed (rpm): 540E/1000,Equipment: Pneumatic (air) brake,Equipment: Platform: Cabin,Equipment: vehicle papers,Equipment: Drive: All-wheel drive,Equipment: PTO shaft speed (rpm): 540/540E/1000,Equipment: Three-point hitch (electronic hitch control),Equipment: Front loader console,Equipment: Top speed in km/h: 30 km/h,Equipment: external operation rear hydraulcs,Equipment: PTO shaft speed (rpm): 540/540E,Equipment: Supercharger: Turbocharger,Equipment: bolt size hitch (mm): 38mm,Equipment: Transmission: PowerShift transmission,Equipment: Creep speed,Equipment: top link rear: mechanically,Equipment: PTO shaft speed (rpm): 540/1000,Equipment: AdBlue,Equipment: Joystick: mechanically,Equipment: external operation PTO,Equipment: Air-suspended seat,Equipment: hitch: automatic,Equipment: 4-wheel brake,Equipment: Suspended front axle,Equipment: PTO shaft speed (rpm): 540,Equipment: ISOBUS,Equipment: emission stage: Tier5,Equipment: top link rear: hyraulic,Equipment: Exhaust brake,Equipment: Top speed in km/h: 50 km/h,Equipment: Front hydraulic equipment,Equipment: PTO shaft speed (rpm): 540/540E/1000/1000E,Equipment: Supercharger: Turbocharger with intercooler,Equipment: PTO shaft speed (rpm): 540/750,Equipment: ground drive p.t.o.,Spec: count of work lights rear,Spec: Working hours:,Spec: Front tire tread depth (%),Spec: Control units - DW (total),Spec: Front tire specifications,Spec: Rear tire tread depth (%),Spec: Maximum allowed weight (kg),Spec: Type:,Spec: Rear tire specifications,Spec: Control units – EW (total),Spec: count of previous owners,Spec: Payload/ carrying capacity (kg),Spec: Year of construction:,Spec: Condition state:,Spec: number of cylinders,Spec: serial number/chassis number,Spec: Control units – DW (electrical),Spec: Own weight (kg),Spec: hp:,Spec: count of work lights front
McCormick X4.070,,,, 70 hp/52 kW,2024,1,,,https://static.landwirt.com/6428-3794040f3fc2690a924369acc54895dd-4474638-0.jpg,"Front loader, PowerShuttle, Air conditioner, PowerShift transmission, Front loader console, Drive: All-wheel drive, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474638,McCormick-X4070.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Parallelführung, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",Yes,,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,1 h,,,360/70R20,,,X4.070,420/70R30,2,,,2024,,,,,,70 hp / 52 kW,,
McCormick X6.135,,,, 135 hp/100 kW,2024,1,,,https://static.landwirt.com/6428-529e721dad858ebbff7d8a96e66d9771-4474625-0.jpg,"Air-suspended seat, Three-point hitch (electronic hitch control), Suspended front axle, Drive: All-wheel drive, Air conditioner, PowerShift transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, PowerShuttle, ...","https://www.landwirt.com/en/used-farm-machinery,4474625,McCormick-X6135.html","Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Diesel, 
Zugmaul - automatisch, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Oberlenker mechanisch (hinten)
________",,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,Yes,,,,X6.135,540/65R38,5,480/65R24,,2024,,,,,,135 hp / 100 kW,,,,1 h,,
McCormick X7.621 VT-Drive,,,, 210 hp/155 kW,2024,1,,,https://static.landwirt.com/6428-b1b3fa88c27afa6b09d0249ba498cc3e-4474624-0.jpg,"Front hydraulic equipment, Three-point hitch (electronic hitch control), Drive: All-wheel drive, Front PTO (power take-off), 50 km/h, Air-suspended seat, Continuously variable transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4474624,McCormick-X7621-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Dreipunkt / Heckhubwerkanhängung, 
Kabine, 
Wendeschaltung, 
Lastabhängiger Zusatz-Hydraulikkreis (Power Beyond, Load Sensing), 
Diesel, 
ISOBUS, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Kabinenfederung (hydraulisch), 
Abgasnachbehandlung / AdBlue, 
Oberlenker hydraulisch (hinten)
________",Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,1 h,,,X7.621 VT-Drive,710/70R38,6,600/65R28,,,2024,,,,,210 hp / 155 kW,,,,,
McCormick X7.624 VT-Drive,,,, 240 hp/177 kW,2024,1,,,https://static.landwirt.com/6428-4b22d96769227f522f4d22f5ca757835-4474623-0.jpg,"Drive: All-wheel drive, Front PTO (power take-off), Three-point hitch (electronic hitch control), Front hydraulic equipment, 50 km/h, Air conditioner, Air-suspended seat, Continuously variable transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474623,McCormick-X7624-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Wendeschaltung, 
Lastabhängiger Zusatz-Hydraulikkreis (Power Beyond, Load Sensing), 
Diesel, 
ISOBUS, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Kabinenfederung (hydraulisch), 
Abgasnachbehandlung / AdBlue, 
Oberlenker hydraulisch (hinten)
________",,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,1 h,,6,600/60R30,,,X7.624 VT-Drive,710/60R42,,,,2024,,,,,,240 hp / 177 kW,
McCormick X7.618 VT-Drive,,,, 180 hp/133 kW,2024,1,,,https://static.landwirt.com/6428-0c3daa84d782fb8eafaf29ee86a56520-4474622-0.jpg,"Front hydraulic equipment, Three-point hitch (electronic hitch control), Drive: All-wheel drive, 50 km/h, Suspended front axle, Air conditioner, Air-suspended seat, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4474622,McCormick-X7618-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Hydrauliksteuergeräte-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,,X7.618 VT-Drive,650/65R38,4,540/65R28,,2024,,,,,,180 hp / 133 kW,,,,1 h,,
McCormick X7.618 VT-Drive,,,, 180 hp/133 kW,2024,1,,,https://static.landwirt.com/6428-54099eca9a8ce4ad1e26f13fa3da6172-4474621-0.jpg,"PTO shaft speed (rpm): 540/540E/1000/1000E, Three-point hitch (electronic hitch control), Drive: All-wheel drive, Front hydraulic equipment, Air conditioner, Air-suspended seat, Continuously variable transmission, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474621,McCormick-X7618-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",,,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,1 h,,4,540/65R28,,,X7.618 VT-Drive,650/65R38,,,,2024,,,,,,180 hp / 133 kW,
McCormick X7.418 VT-Drive,,,, 176 hp/130 kW,2024,1,,,https://static.landwirt.com/6428-f7a9ccf6eaf8fd975bab6c5687aed8a8-4474620-0.jpg,"Drive: All-wheel drive, Front hydraulic equipment, Continuously variable transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, Air-suspended seat, Suspended front axle, Air conditioner, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474620,McCormick-X7418-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Hydraulische Lenkung, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
Abgasnachbehandlung / AdBlue
________",,,,,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,176 hp / 130 kW,,,,,1 h,,,,X7.418 VT-Drive,600/65R38,4,540/65R28,,2024,,,,
McCormick X6.414,,,, 146 hp/108 kW,2024,1,,,https://static.landwirt.com/6428-2a7a98166e5a7962a8f2bd43cb827a1b-4474619-0.jpg,"Air-suspended seat, Suspended front axle, PTO shaft speed (rpm): 540/540E/1000/1000E, Front hydraulic equipment, Drive: All-wheel drive, Air conditioner, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474619,McCormick-X6414.html","Geschwindigkeit: 50, 
Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Radio, 
Wendeschaltung, 
Diesel, 
Abgasnachbehandlung / AdBlue
________",Yes,,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,X6.414,600/65R38,5,480/65R28,,,2024,,,,,146 hp / 108 kW,,,,,,1 h,,
McCormick X6.413,,,, 135 hp/100 kW,2024,1,,,https://static.landwirt.com/6428-3dd2921f9d7583e15ff1246a4c02c097-4474618-0.jpg,"Air-suspended seat, PowerShift transmission, Three-point hitch (electronic hitch control), PowerShuttle, Drive: All-wheel drive, Air conditioner, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474618,McCormick-X6413.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Abgasnachbehandlung / AdBlue
________",,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,Yes,,,2024,,,,,135 hp / 100 kW,,,,,,1 h,,,X6.413,540/65R38,4,480/65R28,,
McCormick X5.110,,,, 105 hp/78 kW,2024,1,,,https://static.landwirt.com/6428-2c348bd2a917640797542614a1b265f5-4474613-0.jpg,"PowerShift transmission, Three-point hitch (electronic hitch control), Suspended front axle, Air-suspended seat, PowerShuttle, Drive: All-wheel drive, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4474613,McCormick-X5110.html","Gänge vorwärts: 36, 
Gänge rückwärts: 12, 
Motortyp: FPT, 
Motor-Zylinderanzahl: 4, 
Laststufen: 3, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Heckzapfwelle-Außenbedienung, 
Einhebelsteuergerät (mechanisch)
________",Yes,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,Yes,,,5,380/70R24,100,,X5.110,480/70R34,,,,2024,,,,,,105 hp / 78 kW,,,1 h,100
McCormick X2.055,,,, 55 hp/41 kW,,,,,https://static.landwirt.com/6428-8648ac42d42b161457bc59390e24331d-4474607-0.jpg,"Air conditioner, Synchronous transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474607,McCormick-X2055.html","Hydraulische Lenkung, 
Kabine, 
Radio
________",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,X2.055,,,,,,,,,,,55 hp / 41 kW,,,,
McCormick X3.080F,,,, 75 hp/56 kW,2024,1,,,https://static.landwirt.com/6428-c5b6fb17176ac51f248f10376b4e3890-4474605-0.jpg,"PTO shaft speed (rpm): 540, Air conditioner, Drive: All-wheel drive, Synchronous transmission, Creep speed, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474605,McCormick-X3080F.html","Geschwindigkeit: 40, 
Gänge vorwärts: 16, 
Gänge rückwärts: 16, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Wendeschaltung, 
Diesel
________",,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,Yes,,,,,1 h,100,,100,,X3.080F,360/70R24,3,260/70R16,,2024,,,,,,75 hp / 56 kW,,,
McCormick X5.120,,,, 120 hp/89 kW,2024,1,,,https://static.landwirt.com/6428-91e421b03b31333fb100961ca9dc195d-4474603-0.jpg,"Air-suspended seat, Drive: All-wheel drive, Front hydraulic equipment, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4474603,McCormick-X5120.html","Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Diesel
________",,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,2024,,,,,,120 hp / 89 kW,,,,,1 h,,,,X5.120,,,,
McCormick X2.055,,,, 55 hp/41 kW,2024,,,,https://static.landwirt.com/6428-b0049139435210a04cc26c1a761e7e91-4474602-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4474602,McCormick-X2055.html","Kabine
________",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,55 hp / 41 kW,,,,,,,,,X2.055,,
McCormick X2.055,,,, 49 hp/37 kW,2024,1,,,https://static.landwirt.com/6428-820939e0470287fe253183a65861a558-4474601-0.jpg,"Synchronous transmission, Drive: All-wheel drive, ...","https://www.landwirt.com/en/used-farm-machinery,4474601,McCormick-X2055.html","Motor-Zylinderanzahl: 3, 
Hydraulische Lenkung, 
Wendeschaltung, 
Diesel, 
Überrollbügel
________",,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,49 hp / 37 kW,,,,,,1 h,,,X2.055,360/70R24,3,320/70R20,,,2024,,,,
